Rk,Season,Tm,Lg,G,W,L,FG,FGA,THREEP,THREEPA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,OFGM,OFGA,OFTM,OFTA,O3PM,O3PA,OppORB,OppDRB,OppAsst,OppSTL,OppBlk,OppTOV,OppPF
159,2001-02,ATL,NBA,82,33,49,2901,6610,423,1194,1486,1942,955,2445,3400,1656,667,350,1275,1702,3065,6674,1456,1956,472,1329,1004,2523,1856,703,508,1177,1647
51,2001-02,BOS,NBA,82,49,33,2852,6731,699,1946,1498,1960,891,2570,3461,1722,793,292,1114,1776,2797,6578,1612,2091,514,1511,954,2807,1802,623,474,1284,1733
233,2001-02,CHI,NBA,82,21,61,2811,6491,300,868,1413,1958,924,2359,3283,1817,633,361,1252,1834,3027,6514,1560,2090,421,1176,944,2553,2066,681,399,1122,1716
125,2001-02,CLE,NBA,82,29,53,2948,6582,387,1026,1529,1980,968,2483,3451,1891,572,470,1196,1752,3053,6678,1506,2014,473,1200,928,2382,1989,602,459,1018,1638
53,2001-02,DAL,NBA,82,57,25,3200,6930,621,1645,1608,1994,918,2568,3486,1811,581,392,992,1842,3094,6851,1640,2184,452,1293,1065,2600,1865,589,377,1121,1784
255,2001-02,DEN,NBA,82,27,55,2915,6870,423,1285,1306,1756,1117,2310,3427,1817,613,462,1205,1873,3005,6540,1602,2144,424,1173,995,2529,1968,671,561,1122,1645
228,2001-02,DET,NBA,82,50,32,2845,6300,567,1509,1478,1954,810,2366,3176,1765,648,565,1193,1695,2926,6544,1349,1787,359,993,991,2511,1637,651,334,1207,1872
114,2001-02,GSW,NBA,82,21,61,2998,6989,320,994,1693,2344,1334,2493,3827,1706,650,523,1378,1884,3213,6993,1622,2125,404,1162,1100,2450,2002,706,516,1132,1946
189,2001-02,HOU,NBA,82,28,54,2837,6629,496,1480,1402,1893,1025,2411,3436,1482,537,445,1156,1476,3191,6875,1221,1623,370,1028,1045,2507,1838,576,414,949,1647
52,2001-02,IND,NBA,82,42,40,2935,6580,405,1195,1663,2155,930,2568,3498,1884,658,436,1249,1876,2977,6800,1544,2062,418,1200,1048,2514,1771,618,465,1120,1855
132,2001-02,LAC,NBA,82,39,43,2970,6668,408,1147,1498,2026,1083,2474,3557,1714,510,540,1214,1624,3074,6866,1329,1783,407,1145,1064,2379,1859,612,439,1009,1775
36,2001-02,LAL,NBA,82,58,24,3150,6840,510,1439,1494,2138,1022,2607,3629,1882,625,478,1040,1823,2872,6777,1577,2072,399,1259,1016,2526,1643,586,352,1100,1888
187,2001-02,MEM,NBA,82,23,59,2851,6535,336,1096,1334,1883,984,2413,3397,1785,646,488,1344,1571,3119,6830,1346,1788,398,1112,1135,2560,1960,781,455,1164,1783
72,2001-02,MIA,NBA,82,36,46,2801,6382,312,899,1236,1708,902,2544,3446,1664,547,448,1217,1846,2666,6279,1565,2127,379,1109,894,2484,1461,620,353,1073,1707
64,2001-02,MIL,NBA,82,41,41,3041,6577,593,1583,1321,1767,841,2557,3398,1847,596,388,1157,1788,3016,6846,1489,1967,493,1377,1050,2438,1884,599,361,993,1641
